epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.12126,0.73039,3.35693,1.08682,0.00639,1,0.28344,0.25824,0.29426,3.33829,0.85797,0.0001125,0.0001125,0.0001125
2,3.91741,0.52563,3.03183,0.97208,0.01165,1,0.49292,0.46214,0.2737,3.30415,0.84599,0.000233581,0.000233581,0.000233581
3,5.77201,0.56981,2.7373,1.02375,0.01446,1,0.3433,0.32892,0.3104,3.26244,0.87679,0.000350537,0.000350537,0.000350537
4,7.68486,0.62285,2.41031,1.02777,0.00705,1,0.74981,0.65298,0.42423,3.16927,0.90691,0.000463369,0.000463369,0.000463369
5,9.66668,0.68532,2.00723,1.0696,0.00455,1,0.90523,0.759,0.43872,2.85808,0.92801,0.000572075,0.000572075,0.000572075
6,11.4538,0.59751,1.66714,1.00345,0.72031,0.3125,0.8838,0.71534,0.55909,2.45784,1.09926,0.000676656,0.000676656,0.000676656
7,13.1134,0.56397,1.44854,0.96765,0.65416,0.87995,0.72808,0.57289,0.62479,2.29955,1.17892,0.000777113,0.000777113,0.000777113
8,14.6015,0.59639,1.43301,0.99525,0.73115,0.6875,0.94125,0.88721,0.39262,2.29952,0.89108,0.000873444,0.000873444,0.000873444
9,16.0747,0.60847,1.2593,0.98263,0.58165,0.92033,0.91625,0.80269,0.47548,2.03782,0.97004,0.00096565,0.00096565,0.00096565
10,17.5573,0.57793,1.14297,0.94714,0.79976,0.98289,0.995,0.75351,0.74861,1.99408,1.66996,0.00105373,0.00105373,0.00105373
11,18.8854,0.58587,1.25447,0.98408,0.73423,0.875,0.97,0.74183,0.70038,1.92262,1.73168,0.00104375,0.00104375,0.00104375
12,20.147,0.58455,1.19013,0.99842,0.79161,1,0.9575,0.77576,0.72506,1.88919,1.26981,0.00102312,0.00102312,0.00102312
13,21.3733,0.60037,1.18377,0.97692,0.65291,0.95223,0.94525,0.80808,0.69682,1.8139,1.12184,0.0010025,0.0010025,0.0010025
14,22.6602,0.586,1.09632,0.95753,0.86287,0.94155,0.94525,0.85611,0.46618,1.52572,0.918,0.000981875,0.000981875,0.000981875
15,23.7908,0.5194,1.05837,0.9563,0.8384,0.94105,0.995,0.91834,0.38407,1.23912,0.86991,0.00096125,0.00096125,0.00096125
16,25.1541,0.52695,1.06397,0.94713,0.84231,0.92127,0.995,0.90864,0.45811,1.25709,0.88035,0.000940625,0.000940625,0.000940625
17,26.3573,0.48713,0.94604,0.9369,0.89902,0.92572,0.97,0.90047,0.39228,1.22173,0.90181,0.00092,0.00092,0.00092
18,27.5571,0.49053,0.92556,0.92274,0.9133,0.98908,0.9575,0.90571,0.34312,0.97597,0.84733,0.000899375,0.000899375,0.000899375
19,28.794,0.53472,1.03864,0.93772,0.89223,1,0.995,0.93231,0.36788,1.11717,0.85634,0.00087875,0.00087875,0.00087875
